,Month,SalesSystemCode,TITULO,SupervisorEmployeeID,Monthly Subscribers,Churned Subscribers,MonthsofEmploymentRounded,Exit Date,Características (D),Características (I),Características (S),Características (C),Motivación (D),Motivación (I),Motivación (S),Motivación (C),Bajo Stress (D),Bajo Stress (I),Bajo Stress (S),Bajo Stress (C),Rental Charge,Cost to Company,Revenue Per CtC
70,2017-12-01,802718.0,SALES EXECUTIVE,Aff - 90671,27.0,5.0,3.0,2018-02-02,52.0,55.0,71.0,42.0,30.0,40.0,89.0,18.0,79.0,75.0,40.0,74.0,362.2374999999999,1533.33,0.23624236139643776
71,2017-12-01,802674.0,SALES EXECUTIVE,Aff - 90671,,,3.0,2018-04-30,70.0,62.0,30.0,60.0,75.0,40.0,40.0,55.0,69.0,86.0,30.0,74.0,,1533.33,
72,2017-12-01,802799.0,SALES EXECUTIVE ,Aff - 90671,,,2.0,,,,,,,,,,,,,,,1533.33,
73,2017-12-01,802833.0,SALES EXECUTIVE ,Aff - 90671,,,1.0,2018-04-13,70.0,62.0,20.0,60.0,59.0,82.0,60.0,55.0,87.0,45.0,18.0,74.0,,1533.33,
74,2017-12-01,812401.0,SALES SUPERVISOR,8592,,,9.0,2018-03-20,70.0,15.0,57.0,70.0,75.0,10.0,75.0,73.0,69.0,30.0,40.0,74.0,,1908.33,
75,2017-12-01,782544.0,SALES EXECUTIVE,1812401,,,6.0,2018-02-02,93.0,33.0,20.0,34.0,93.0,40.0,11.0,55.0,95.0,45.0,40.0,31.0,,1533.33,
76,2017-12-01,802612.0,SALES EXECUTIVE,1812401,,,6.0,,,,,,,,,,,,,,,1533.33,
77,2017-12-01,802575.0,SALES EXECUTIVE,1812401,,,6.0,,,,,,,,,,,,,,,1533.33,
78,2017-12-01,2628.0,SALES EXECUTIVE,1812401,,,6.0,2018-03-16,40.0,43.0,71.0,85.0,30.0,40.0,89.0,73.0,45.0,60.0,40.0,42.0,,1533.33,
79,2017-12-01,802622.0,SALES EXECUTIVE,1812401,43.0,4.0,6.0,2018-03-27,95.0,25.0,10.0,70.0,95.0,40.0,11.0,55.0,95.0,30.0,18.0,84.0,565.8374999999997,1533.33,0.36902525875056236
